age_months,domain,milestone
2,Social,Smiles at people and briefly calms self
2,Language,Coos and makes gurgling sounds
2,Motor,Holds head up and pushes up when on tummy
4,Social,Smiles spontaneously and likes to play with people
4,Language,Babbles and copies sounds
4,Motor,Holds head steady; pushes up to elbows on tummy
6,Social,Knows familiar faces; likes to look in a mirror
6,Language,Responds to own name; strings vowels together
6,Motor,Rolls over in both directions; begins to sit without support
9,Social,May be afraid of strangers; has favorite toys
9,Language,Understands no; copies sounds and gestures
9,Motor,Sits without support; stands holding on
12,Social,Cries when a parent leaves; has favorite people
12,Language,Says mama and dada; tries to copy words
12,Motor,Pulls to stand and cruises along furniture; may take first steps
18,Social,Plays simple pretend; points to show interest
18,Language,Says several single words
18,Motor,Walks alone; may walk up steps and run
24,Social,Copies others; gets excited around other children
24,Language,Uses two-word phrases; points to things in a book
24,Motor,Runs; kicks a ball; climbs on and off furniture
